feature,importance
Dòng xe_Z125,3.6403666304078686e-06
Thương hiệu_Visitor,3.6186492958361805e-06
Thương hiệu_VinFast,3.4082377012313523e-06
Thương hiệu_Sachs,3.3560271612161652e-06
Dòng xe_Demon 150GR,3.3462657772342867e-06
Dòng xe_Phoenix,3.337991243747236e-06
Dòng xe_RC 250,2.678652833061796e-06
Dòng xe_K-Pipe,2.6131574340163835e-06
Dòng xe_SR 125,2.2914240918269786e-06
Dòng xe_Cello,2.1734124624435474e-06
Dòng xe_Elegant,2.113099608223476e-06
Thương hiệu_CR&S,2.1106127053785314e-06
Dòng xe_Vento S,2.0746928395162104e-06
Thương hiệu_Halim,2.074427459499749e-06
Dòng xe_Candy Hi,1.8096353485532086e-06
Dòng xe_Nio Fi 50cc,1.6554711857931073e-06
Dòng xe_Xbike,1.5497461070337842e-06
Thương hiệu_Nioshima,1.549306863930095e-06
Dòng xe_CDR,1.4849285568408536e-06
Dòng xe_Feliz S,1.4483873562778205e-06
Dòng xe_Venus,1.3029793225217581e-06
Dòng xe_EZ,1.2278946711275947e-06
Dòng xe_Max,1.0198663566888833e-06
Dòng xe_MadAss,9.685430601096726e-07
Dòng xe_Stinger,9.525889587465841e-07
Dòng xe_ST,6.912691012083089e-07
Dòng xe_Demon X 125cc,6.677722069840884e-07
Dòng xe_BX 125,5.957972564835518e-07
Dòng xe_Joyride,5.824452798777005e-07
Dòng xe_ET8,5.795519855118678e-07
Dòng xe_Latte,5.37946043132536e-07
Dòng xe_Candy S,4.782126718501928e-07
Dòng xe_Elite,4.125138949253014e-07
Dòng xe_RC 200,3.409410693642629e-07
Dòng xe_T15,3.2150627634213134e-07
Dòng xe_Magic,3.0689446371117565e-07
Dòng xe_Enjoy,3.0544123919535153e-07
Dòng xe_Like Fi,2.8510368796036597e-07
Dòng xe_Smash,2.627024619880073e-07
Thương hiệu_Sanda,2.570494082366815e-07
Dòng xe_Like MMC,2.555022092474769e-07
Dòng xe_dòng khác,2.3276574197272535e-07
Dòng xe_Legend 200,2.0838926281343155e-07
Dòng xe_125/250,1.8370964928695464e-07
Dòng xe_VS125,1.833647103505941e-07
Dòng xe_Jockey Fi,1.826748961290802e-07
Dòng xe_Sanda Boss,1.65605887416149e-07
Dòng xe_People 16 Fi,1.437975241673935e-07
Dòng xe_Pepe,1.3926366953859965e-07
Dòng xe_Bonus,1.3635126514850236e-07
Dòng xe_FX125,1.2847049560773056e-07
Dòng xe_Amigo,1.0421582823053337e-07
Dung tích xe_Nhật Bản,9.716557005376452e-08
Dòng xe_2015 RSV4 R APRC ABS,6.880465421565344e-08
Dòng xe_Sapphire,1.5370238877511808e-08
Dòng xe_Diavel,9.004458371414317e-09
